coupling_function,device_count,csma_w0_ms,csma_w_max_ms,csma_max_retries,run_count,overall_per_percent_median,backoff_retry_total,retry_exhausted_abandon_total,ttu_reach_rate_percent,max_convergence_rate_percent,mingap_convergence_rate_percent,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,ttu_cycle_censored_median,max_convergence_cycle_censored_median,mingap_convergence_cycle_censored_median
CSMA_CA,5,0.0,0.0,0,50,0.0,0,1440,84.0,30.0,100.0,1.7749998492782333,0.2714336052701585,10.0,,1.0
CSMA_CA,5,10.0,200.0,3,50,0.0,3444,104,100.0,30.0,100.0,1.7749998492782333,0.21802653015913198,10.0,,1.0
CSMA_CA,5,25.0,200.0,3,50,0.0,2389,10,100.0,30.0,100.0,1.7749998492782333,0.21802653015913198,10.0,,1.0
CSMA_CA,5,25.0,200.0,5,50,0.0,2395,0,100.0,30.0,100.0,1.7749998492782333,0.21802653015913198,10.0,,1.0
CSMA_CA,5,50.0,200.0,3,50,0.0,1926,6,100.0,30.0,100.0,1.7749998492782333,0.21802653015913198,10.0,,1.0
CSMA_CA,10,0.0,0.0,0,50,0.0,0,3240,64.0,12.0,100.0,1.1806105192190444,0.08607963870836027,10.0,,1.0
CSMA_CA,10,10.0,200.0,3,50,0.0,7561,266,98.0,12.0,100.0,1.1806105192190444,0.060946897479642215,10.0,,1.0
CSMA_CA,10,25.0,200.0,3,50,0.0,5468,58,100.0,12.0,100.0,1.1806105192190444,0.06031857894892423,10.0,,1.0
CSMA_CA,10,25.0,200.0,5,50,0.0,5521,0,100.0,12.0,100.0,1.1806105192190444,0.06031857894892423,10.0,,1.0
CSMA_CA,10,50.0,200.0,3,50,0.0,4656,15,100.0,12.0,100.0,1.1806105192190444,0.06295671648177203,10.0,,1.0
CSMA_CA,20,0.0,0.0,0,50,10.0,0,16740,16.0,0.0,100.0,0.7866548004588843,0.04523893421169323,,,1.0
CSMA_CA,20,10.0,200.0,3,50,0.4722222222222222,39931,1879,86.0,0.0,100.0,0.7866548004588843,0.03625624205131814,10.0,,1.0
CSMA_CA,20,25.0,200.0,3,50,0.05555555555555555,29887,473,100.0,0.0,100.0,0.7866548004588843,0.037575661156888485,10.0,,1.0
CSMA_CA,20,25.0,200.0,5,50,0.0,30539,21,100.0,0.0,100.0,0.7866548004588843,0.03783205960120985,10.0,,1.0
CSMA_CA,20,50.0,200.0,3,50,0.027777777777777776,24987,174,100.0,0.0,100.0,0.7866548004588843,0.04089158976910234,10.0,,1.0
CSMA_CA,50,0.0,0.0,0,50,20.0,0,86760,0.0,0.0,100.0,0.4027521781902114,0.033929200658769476,,,1.0
CSMA_CA,50,10.0,200.0,3,50,4.238888888888889,238692,20159,8.0,0.0,100.0,0.3937347548464396,0.03267256359733378,,,1.0
CSMA_CA,50,25.0,200.0,3,50,1.6222222222222222,193584,8267,60.0,0.0,100.0,0.3883817107054326,0.032673833597370416,86.0,,1.0
CSMA_CA,50,25.0,200.0,5,50,0.12222222222222222,208877,944,100.0,0.0,100.0,0.3864158963915445,0.032771983700875085,10.0,,1.0
CSMA_CA,50,50.0,200.0,3,50,0.9277777777777778,170094,4795,92.0,0.0,100.0,0.3832743037379547,0.03296774269161268,10.5,,1.0
